Location,Site_Name,Latitude,Longitude,Solar_GW,Wind_GW,Battery_GWh,System_Capacity_Factor,LCOE_USD_per_MWh,Annual_Load_MWh,Energy_Served_MWh,Unmet_Load_MWh,Overproduction_MWh
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,3.00,0.00,3.00,0.0007,38427.32,8760000.00,5783.58,8754216.42,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,3.00,0.00,4.00,0.0007,35516.95,8760000.00,6257.93,8753742.07,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,3.00,0.00,5.00,0.0008,33016.75,8760000.00,6732.27,8753267.73,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,3.00,0.00,6.00,0.0008,30845.68,8760000.00,7206.61,8752793.39,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,3.00,0.00,7.00,0.0009,28942.77,8760000.00,7680.95,8752319.05,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,3.00,0.00,8.00,0.0009,27261.21,8760000.00,8155.29,8751844.71,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,3.00,0.00,9.00,0.0010,25764.51,8760000.00,8629.63,8751370.37,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,3.00,0.00,10.00,0.0010,24423.75,8760000.00,9103.98,8750896.02,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,3.00,0.00,11.00,0.0011,23215.81,8760000.00,9578.32,8750421.68,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,3.00,0.00,12.00,0.0011,22121.86,8760000.00,10052.66,8749947.34,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,3.00,0.00,13.00,0.0012,21126.50,8760000.00,10527.00,8749473.00,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,3.00,0.00,14.00,0.0013,20216.97,8760000.00,11001.34,8748998.66,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,3.00,0.00,15.00,0.0013,19382.63,8760000.00,11475.68,8748524.32,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,4.00,0.00,1.00,0.0007,47115.90,8760000.00,6288.42,8753711.58,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,4.00,0.00,2.00,0.0008,43813.43,8760000.00,6762.76,8753237.24,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,4.00,0.00,3.00,0.0008,40943.86,8760000.00,7237.10,8752762.90,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,4.00,0.00,4.00,0.0009,38427.27,8760000.00,7711.45,8752288.55,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,4.00,0.00,5.00,0.0009,36202.38,8760000.00,8185.79,8751814.21,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,4.00,0.00,6.00,0.0010,34221.22,8760000.00,8660.13,8751339.87,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,4.00,0.00,7.00,0.0010,32445.81,8760000.00,9134.47,8750865.53,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,4.00,0.00,8.00,0.0011,30845.69,8760000.00,9608.81,8750391.19,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,4.00,0.00,9.00,0.0012,29396.13,8760000.00,10083.15,8749916.85,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,4.00,0.00,10.00,0.0012,28076.79,8760000.00,10557.50,8749442.50,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,4.00,0.00,11.00,0.0013,26870.93,8760000.00,11031.84,8748968.16,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,4.00,0.00,12.00,0.0013,25764.49,8760000.00,11506.18,8748493.82,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,4.00,0.00,13.00,0.0014,24745.67,8760000.00,11980.52,8748019.48,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,4.00,0.00,14.00,0.0014,23804.45,8760000.00,12454.86,8747545.14,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,4.00,0.00,15.00,0.0015,22932.30,8760000.00,12929.20,8747070.80,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,5.00,0.00,1.00,0.0009,47837.10,8760000.00,7741.94,8752258.06,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,5.00,0.00,2.00,0.0009,45077.22,8760000.00,8216.28,8751783.72,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,5.00,0.00,3.00,0.0010,42618.61,8760000.00,8690.62,8751309.38,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,5.00,0.00,4.00,0.0010,40414.50,8760000.00,9164.96,8750835.04,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,5.00,0.00,5.00,0.0011,38427.28,8760000.00,9639.31,8750360.69,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,5.00,0.00,6.00,0.0012,36626.49,8760000.00,10113.65,8749886.35,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,5.00,0.00,7.00,0.0012,34987.06,8760000.00,10587.99,8749412.01,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,5.00,0.00,8.00,0.0013,33488.22,8760000.00,11062.33,8748937.67,0.00
